TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,GAME_DATE
1610612737,Atlanta Hawks,67,20,47,0.299,3256.0,114.4,2237,0.708,523,341,1305.0,1008.0,991.0,3590.0,23,26,28,27,23,28,24,29,20,16,28,28,22,25,08/13/2020
1610612738,Boston Celtics,72,48,24,0.667,3486.0,106.5,2549,0.731,595,406,1086.0,947.0,953.0,3128.0,7,4,5,5,11,4,10,16,6,4,6,19,19,4,08/13/2020
1610612751,Brooklyn Nets,72,35,37,0.486,3496.0,109.2,2683,0.736,464,323,1222.0,949.0,944.0,3338.0,7,14,14,14,9,10,3,12,26,20,21,20,17,13,08/13/2020
1610612766,Charlotte Hornets,65,23,42,0.354,3150.0,112.8,2066,0.706,428,268,1095.0,855.0,768.0,3284.0,26,23,21,22,26,25,29,30,30,28,7,9,2,11,08/13/2020
1610612741,Chicago Bulls,65,22,43,0.338,3135.0,108.9,2041,0.719,652,265,1157.0,826.0,813.0,3226.0,26,24,23,24,29,9,30,23,1,29,12,3,3,8,08/13/2020
1610612739,Cleveland Cavaliers,65,19,46,0.292,3145.0,114.8,2172,0.738,447,211,1299.0,827.0,938.0,3482.0,26,28,26,29,27,30,26,9,28,30,27,4,16,24,08/13/2020
1610612742,Dallas Mavericks,75,43,32,0.573,3635.0,111.2,2729,0.74,460,363,1069.0,1007.0,1228.0,3662.0,1,12,13,13,1,18,2,8,27,10,2,27,30,28,08/13/2020
1610612743,Denver Nuggets,72,46,26,0.639,3501.0,110.3,2404,0.726,577,326,1157.0,876.0,886.0,3472.0,7,6,6,6,7,16,20,20,8,19,12,13,10,21,08/13/2020
1610612765,Detroit Pistons,66,20,46,0.303,3193.0,112.3,2109,0.717,490,299,1145.0,873.0,838.0,3432.0,24,26,26,26,24,22,28,25,24,23,10,12,6,18,08/13/2020
1610612744,Golden State Warriors,65,15,50,0.231,3145.0,113.0,2138,0.722,534,299,1168.0,880.0,976.0,3174.0,26,30,30,30,27,26,27,21,17,23,15,14,20,6,08/13/2020
1610612745,Houston Rockets,71,44,27,0.62,3428.0,109.6,2458,0.714,617,362,1251.0,996.0,1076.0,3654.0,17,7,7,7,19,14,17,26,3,11,25,26,26,27,08/13/2020
1610612754,Indiana Pacers,72,44,28,0.611,3476.0,107.7,2450,0.718,532,373,1075.0,953.0,992.0,3442.0,7,7,9,9,13,6,19,24,18,9,5,21,23,19,08/13/2020
1610612746,LA Clippers,71,48,23,0.676,3423.0,107.2,2615,0.738,501,336,1155.0,883.0,946.0,3170.0,17,4,4,4,21,5,5,10,23,17,11,15,18,5,08/13/2020
1610612747,Los Angeles Lakers,71,52,19,0.732,3418.0,106.1,2490,0.737,612,468,1237.0,849.0,1175.0,3250.0,17,2,2,2,22,3,15,11,4,1,24,7,29,9,08/13/2020
1610612763,Memphis Grizzlies,73,34,39,0.466,3514.0,109.7,2643,0.733,576,398,1307.0,990.0,1013.0,3306.0,3,16,15,16,5,15,4,15,9,5,29,25,25,12,08/13/2020
1610612748,Miami Heat,72,44,28,0.611,3501.0,109.3,2585,0.754,541,327,1285.0,914.0,816.0,3176.0,7,7,9,9,7,13,7,2,15,18,26,17,4,7,08/13/2020
1610612749,Milwaukee Bucks,73,56,17,0.767,3519.0,102.5,3083,0.775,526,429,1235.0,824.0,996.0,2822.0,3,1,1,1,3,1,1,1,19,3,23,2,24,1,08/13/2020
1610612750,Minnesota Timberwolves,64,19,45,0.297,3112.0,111.6,2193,0.731,555,362,1137.0,865.0,833.0,3278.0,30,28,24,28,30,20,25,17,13,11,9,10,5,10,08/13/2020
1610612740,New Orleans Pelicans,72,30,42,0.417,3486.0,111.8,2551,0.729,539,358,1410.0,982.0,1110.0,3756.0,7,21,21,21,11,21,9,18,16,13,30,24,28,30,08/13/2020
1610612752,New York Knicks,66,21,45,0.318,3193.0,112.4,2274,0.742,504,313,1158.0,834.0,847.0,2894.0,24,25,24,25,24,23,23,7,22,21,14,5,7,2,08/13/2020
1610612760,Oklahoma City Thunder,71,44,27,0.62,3433.0,108.3,2458,0.728,545,347,1128.0,901.0,765.0,3444.0,17,7,7,7,18,7,17,19,14,15,8,16,1,20,08/13/2020
1610612753,Orlando Magic,73,33,40,0.452,3514.0,109.2,2498,0.749,599,396,1042.0,815.0,869.0,3382.0,3,18,19,18,5,11,14,5,5,6,1,1,8,15,08/13/2020
1610612755,Philadelphia 76ers,72,42,30,0.583,3471.0,108.6,2510,0.75,578,385,1174.0,847.0,984.0,3472.0,7,13,12,12,14,8,13,4,7,8,16,6,21,21,08/13/2020
1610612756,Phoenix Suns,73,34,39,0.466,3519.0,110.8,2465,0.734,559,290,1212.0,915.0,929.0,3634.0,3,16,15,16,3,17,16,14,11,27,20,18,15,26,08/13/2020
1610612757,Portland Trail Blazers,74,35,39,0.473,3567.0,114.3,2599,0.712,465,451,1072.0,1150.0,1092.0,3476.0,2,14,15,15,2,27,6,28,25,2,3,30,27,23,08/13/2020
1610612758,Sacramento Kings,72,31,41,0.431,3491.0,111.4,2372,0.736,556,293,1191.0,854.0,872.0,3352.0,7,20,20,20,10,19,21,13,12,25,17,8,9,14,08/13/2020
1610612759,San Antonio Spurs,71,32,39,0.451,3443.0,112.6,2530,0.751,518,390,1074.0,963.0,920.0,3424.0,17,19,15,19,17,24,12,3,21,7,4,23,14,17,08/13/2020
1610612761,Toronto Raptors,71,52,19,0.732,3428.0,104.6,2545,0.721,628,353,1192.0,961.0,891.0,2958.0,17,2,2,2,19,2,11,22,2,14,18,22,11,3,08/13/2020
1610612762,Utah Jazz,72,44,28,0.611,3471.0,109.3,2577,0.746,438,292,1228.0,870.0,901.0,3416.0,7,7,9,9,14,12,8,6,29,26,22,11,12,16,08/13/2020
1610612764,Washington Wizards,72,25,47,0.347,3471.0,114.7,2295,0.712,574,309,1199.0,1034.0,913.0,3704.0,7,22,28,23,14,29,22,27,10,22,19,29,13,29,08/13/2020
1610612737,Atlanta Hawks,67,20,47,0.299,3256.0,114.4,2237,0.708,523,341,1305.0,1008.0,991.0,3590.0,23,26,29,27,23,28,23,29,18,16,29,28,24,28,08/10/2020
1610612738,Boston Celtics,70,47,23,0.671,3390.0,106.6,2475,0.732,580,392,1044.0,918.0,920.0,3048.0,11,4,4,4,13,4,11,15,6,4,4,20,15,4,08/10/2020
1610612751,Brooklyn Nets,70,34,36,0.486,3400.0,109.1,2610,0.738,450,314,1190.0,905.0,924.0,3244.0,11,14,14,14,11,11,3,9,26,20,20,19,17,12,08/10/2020
1610612766,Charlotte Hornets,65,23,42,0.354,3150.0,112.8,2066,0.706,428,268,1095.0,855.0,768.0,3284.0,26,23,22,22,26,24,29,30,30,28,7,9,2,15,08/10/2020
1610612741,Chicago Bulls,65,22,43,0.338,3135.0,108.9,2041,0.719,652,265,1157.0,826.0,813.0,3226.0,26,24,23,24,29,9,30,23,1,29,15,4,4,9,08/10/2020
1610612739,Cleveland Cavaliers,65,19,46,0.292,3145.0,114.8,2172,0.738,447,211,1299.0,827.0,938.0,3482.0,26,28,26,29,27,29,26,10,27,30,28,6,19,24,08/10/2020
1610612742,Dallas Mavericks,73,43,30,0.589,3539.0,110.7,2665,0.74,453,354,1037.0,980.0,1197.0,3552.0,1,9,13,13,1,18,2,8,25,11,3,27,30,26,08/10/2020
1610612743,Denver Nuggets,71,46,25,0.648,3453.0,110.0,2371,0.725,573,323,1135.0,867.0,875.0,3430.0,3,6,6,6,3,16,20,20,7,19,10,13,10,22,08/10/2020
1610612765,Detroit Pistons,66,20,46,0.303,3193.0,112.3,2109,0.717,490,299,1145.0,873.0,838.0,3432.0,24,26,26,26,24,22,28,24,23,23,12,14,7,23,08/10/2020
1610612744,Golden State Warriors,65,15,50,0.231,3145.0,113.0,2138,0.722,534,299,1168.0,880.0,976.0,3174.0,26,30,30,30,27,26,27,21,15,23,17,15,21,7,08/10/2020
1610612745,Houston Rockets,69,44,25,0.638,3332.0,109.7,2382,0.713,595,353,1194.0,966.0,1049.0,3560.0,21,7,6,7,22,15,19,26,4,12,21,25,26,27,08/10/2020
1610612754,Indiana Pacers,71,43,28,0.606,3428.0,107.9,2408,0.717,517,366,1055.0,942.0,982.0,3410.0,3,9,10,10,5,6,17,25,19,9,6,22,23,21,08/10/2020
1610612746,LA Clippers,70,47,23,0.671,3375.0,107.1,2581,0.737,490,335,1148.0,866.0,936.0,3118.0,11,4,4,4,17,5,4,11,23,17,13,12,18,5,08/10/2020
1610612747,Los Angeles Lakers,70,52,18,0.743,3370.0,105.8,2458,0.737,606,467,1210.0,837.0,1154.0,3192.0,11,2,2,2,20,3,12,12,3,1,24,8,29,8,08/10/2020
1610612763,Memphis Grizzlies,71,33,38,0.465,3418.0,109.7,2567,0.732,564,391,1288.0,969.0,1000.0,3240.0,3,15,15,15,9,14,5,16,8,5,27,26,25,11,08/10/2020
1610612748,Miami Heat,71,44,27,0.62,3453.0,109.2,2551,0.755,527,325,1272.0,894.0,808.0,3140.0,3,7,8,8,3,12,6,2,16,18,26,18,3,6,08/10/2020
1610612749,Milwaukee Bucks,71,55,16,0.775,3423.0,102.4,3003,0.776,512,426,1199.0,804.0,979.0,2730.0,3,1,1,1,6,1,1,1,20,3,22,2,22,1,08/10/2020
1610612750,Minnesota Timberwolves,64,19,45,0.297,3112.0,111.6,2193,0.731,555,362,1137.0,865.0,833.0,3278.0,30,28,24,28,30,20,25,17,11,10,11,11,5,14,08/10/2020
1610612740,New Orleans Pelicans,70,30,40,0.429,3390.0,111.6,2491,0.73,525,348,1373.0,961.0,1081.0,3652.0,11,20,20,20,13,21,10,18,17,13,30,24,28,30,08/10/2020
1610612752,New York Knicks,66,21,45,0.318,3193.0,112.4,2274,0.742,504,313,1158.0,834.0,847.0,2894.0,24,25,24,25,24,23,22,7,21,21,16,7,8,2,08/10/2020
1610612760,Oklahoma City Thunder,70,43,27,0.614,3385.0,108.2,2422,0.727,538,343,1110.0,893.0,754.0,3402.0,11,9,8,9,15,8,16,19,14,15,8,17,1,20,08/10/2020
1610612753,Orlando Magic,71,32,39,0.451,3418.0,109.0,2434,0.749,584,391,1009.0,793.0,833.0,3266.0,3,17,17,17,9,10,15,5,5,5,1,1,5,13,08/10/2020
1610612755,Philadelphia 76ers,70,42,28,0.6,3375.0,108.0,2449,0.752,564,371,1132.0,806.0,956.0,3364.0,11,13,10,12,17,7,13,3,8,8,9,3,20,17,08/10/2020
1610612756,Phoenix Suns,71,32,39,0.451,3423.0,110.7,2394,0.735,549,283,1199.0,887.0,921.0,3524.0,3,17,17,17,6,17,18,14,12,27,22,16,16,25,08/10/2020
1610612757,Portland Trail Blazers,72,33,39,0.458,3471.0,114.0,2535,0.711,446,444,1047.0,1124.0,1071.0,3382.0,2,15,17,16,2,27,8,28,28,2,5,30,27,19,08/10/2020
1610612758,Sacramento Kings,70,29,41,0.414,3395.0,111.4,2306,0.736,540,285,1150.0,826.0,855.0,3236.0,11,21,21,21,12,19,21,13,13,26,14,4,9,10,08/10/2020
1610612759,San Antonio Spurs,69,31,38,0.449,3347.0,112.9,2445,0.749,504,377,1030.0,931.0,899.0,3320.0,21,19,15,19,21,25,14,4,21,7,2,21,14,16,08/10/2020
1610612761,Toronto Raptors,70,51,19,0.729,3380.0,104.5,2509,0.72,620,346,1186.0,958.0,879.0,2924.0,11,3,3,3,16,2,9,22,2,14,19,23,11,3,08/10/2020
1610612762,Utah Jazz,71,43,28,0.606,3423.0,109.2,2546,0.746,431,287,1214.0,861.0,892.0,3372.0,3,9,10,10,6,13,7,6,29,25,25,10,13,18,08/10/2020
1610612764,Washington Wizards,70,24,46,0.343,3375.0,115.0,2224,0.712,561,300,1176.0,1013.0,882.0,3608.0,11,22,26,23,17,30,24,27,10,22,18,29,12,29,08/10/2020
1610612737,Atlanta Hawks,67,20,47,0.299,3256.0,114.4,2237,0.708,523,341,1305.0,1008.0,991.0,3590.0,23,26,29,27,23,28,23,29,15,14,29,29,24,29,08/08/2020
1610612738,Boston Celtics,69,46,23,0.667,3337.0,106.6,2434,0.733,571,385,1027.0,901.0,903.0,3006.0,11,5,5,5,14,4,12,15,6,6,4,20,15,4,08/08/2020
1610612751,Brooklyn Nets,69,33,36,0.478,3352.0,108.9,2572,0.737,445,309,1168.0,892.0,908.0,3196.0,11,14,14,14,11,9,3,11,27,21,19,19,16,10,08/08/2020
1610612766,Charlotte Hornets,65,23,42,0.354,3150.0,112.8,2066,0.706,428,268,1095.0,855.0,768.0,3284.0,26,23,22,22,26,24,29,30,29,28,8,12,2,16,08/08/2020
1610612741,Chicago Bulls,65,22,43,0.338,3135.0,108.9,2041,0.719,652,265,1157.0,826.0,813.0,3226.0,26,24,23,24,29,10,30,23,1,29,17,6,4,13,08/08/2020
1610612739,Cleveland Cavaliers,65,19,46,0.292,3145.0,114.8,2172,0.738,447,211,1299.0,827.0,938.0,3482.0,26,28,27,29,27,29,26,10,25,30,28,7,19,24,08/08/2020
1610612742,Dallas Mavericks,72,42,30,0.583,3491.0,110.5,2635,0.741,447,351,1025.0,965.0,1189.0,3524.0,1,11,13,13,1,17,2,8,25,11,3,27,30,27,08/08/2020
1610612743,Denver Nuggets,70,46,24,0.657,3405.0,109.7,2346,0.726,567,321,1110.0,847.0,863.0,3374.0,3,5,6,6,3,14,19,20,7,18,9,10,10,22,08/08/2020
1610612765,Detroit Pistons,66,20,46,0.303,3193.0,112.3,2109,0.717,490,299,1145.0,873.0,838.0,3432.0,24,26,27,26,24,22,28,24,23,22,14,15,7,23,08/08/2020
1610612744,Golden State Warriors,65,15,50,0.231,3145.0,113.0,2138,0.722,534,299,1168.0,880.0,976.0,3174.0,26,30,30,30,27,25,27,21,13,22,19,17,23,8,08/08/2020
1610612745,Houston Rockets,68,43,25,0.632,3284.0,109.9,2342,0.711,586,350,1176.0,964.0,1040.0,3502.0,19,7,7,7,21,16,20,27,4,12,22,26,26,26,08/08/2020
1610612754,Indiana Pacers,70,43,27,0.614,3380.0,107.9,2369,0.717,512,362,1036.0,914.0,966.0,3354.0,3,7,9,9,5,7,16,25,19,9,6,22,22,21,08/08/2020
1610612746,LA Clippers,69,47,22,0.681,3327.0,106.8,2552,0.737,482,333,1137.0,849.0,919.0,3070.0,11,4,4,4,15,5,4,12,24,16,12,11,18,5,08/08/2020
1610612747,Los Angeles Lakers,69,51,18,0.739,3322.0,105.5,2440,0.738,598,463,1200.0,823.0,1141.0,3138.0,11,2,2,2,18,3,10,9,2,1,25,5,29,7,08/08/2020
1610612763,Memphis Grizzlies,70,33,37,0.471,3370.0,109.8,2535,0.731,550,388,1265.0,962.0,993.0,3208.0,3,14,15,15,9,15,5,17,11,4,27,25,25,11,08/08/2020
1610612748,Miami Heat,70,43,27,0.614,3405.0,109.5,2505,0.754,516,316,1261.0,881.0,800.0,3100.0,3,7,9,9,3,13,7,2,18,19,26,18,3,6,08/08/2020
1610612749,Milwaukee Bucks,70,55,15,0.786,3375.0,102.3,2965,0.777,508,420,1179.0,783.0,963.0,2684.0,3,1,1,1,6,1,1,1,20,3,23,2,21,1,08/08/2020
1610612750,Minnesota Timberwolves,64,19,45,0.297,3112.0,111.6,2193,0.731,555,362,1137.0,865.0,833.0,3278.0,30,28,24,28,30,20,24,18,9,9,12,14,6,15,08/08/2020
1610612740,New Orleans Pelicans,69,30,39,0.435,3342.0,111.6,2459,0.731,520,343,1343.0,946.0,1064.0,3616.0,11,19,18,20,13,21,9,16,17,13,30,24,28,30,08/08/2020
1610612752,New York Knicks,66,21,45,0.318,3193.0,112.4,2274,0.742,504,313,1158.0,834.0,847.0,2894.0,24,25,24,25,24,23,21,7,21,20,18,8,9,3,08/08/2020
1610612760,Oklahoma City Thunder,68,42,26,0.618,3289.0,108.1,2355,0.728,521,338,1082.0,859.0,722.0,3314.0,19,11,8,8,20,8,17,19,16,15,7,13,1,18,08/08/2020
1610612753,Orlando Magic,70,32,38,0.457,3365.0,109.0,2394,0.749,577,387,987.0,776.0,822.0,3210.0,3,16,16,16,10,12,15,5,5,5,1,1,5,12,08/08/2020
1610612755,Philadelphia 76ers,69,42,27,0.609,3327.0,107.8,2415,0.752,558,368,1121.0,799.0,947.0,3308.0,11,11,9,12,15,6,13,3,8,8,10,3,20,17,08/08/2020
1610612756,Phoenix Suns,70,31,39,0.443,3375.0,110.9,2353,0.734,538,276,1175.0,874.0,908.0,3492.0,3,18,18,18,6,18,18,14,12,27,21,16,16,25,08/08/2020
1610612757,Portland Trail Blazers,71,32,39,0.451,3423.0,113.9,2501,0.712,438,438,1035.0,1100.0,1062.0,3332.0,2,16,18,17,2,27,8,26,28,2,5,30,27,20,08/08/2020
1610612758,Sacramento Kings,69,29,40,0.42,3347.0,111.4,2270,0.735,531,283,1132.0,817.0,844.0,3186.0,11,21,21,21,12,19,22,13,14,25,11,4,8,9,08/08/2020
1610612759,San Antonio Spurs,68,30,38,0.441,3299.0,113.0,2409,0.751,492,371,1009.0,904.0,890.0,3266.0,19,19,16,19,19,26,14,4,22,7,2,21,14,14,08/08/2020
1610612761,Toronto Raptors,68,49,19,0.721,3284.0,104.7,2435,0.72,592,333,1148.0,932.0,865.0,2852.0,19,3,3,3,21,2,11,22,3,16,15,23,11,2,08/08/2020
1610612762,Utah Jazz,70,43,27,0.614,3375.0,108.9,2519,0.746,426,281,1194.0,846.0,883.0,3314.0,3,7,9,9,6,11,6,6,30,26,24,9,13,18,08/08/2020
